X,Y,OBJECTID,rb,Gradska_cetvrt,Mjesni_odbor,lokacija,Vrsta_objekta,Izvor,Izradio
15.932795937,45.7944474650001,72,150,Trešnjevka - sjever,Ljubljanica,Lazinska ulica 28,"dječje igralište, vježbalište za odrasle","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.016506248,45.8672579490001,73,84,Podsljeme,Markuševec,Hamići 2,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.0287529890001,45.8924099760001,74,85,Podsljeme,Markuševec,Bidrovečka cesta 30,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.972911762,45.801510729,75,175,Trnje,Martinovka,"Zelinska ulica, istočno od k.br. 5",boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.9311318590001,45.853474367,76,10,Črnomerec,Medvedgrad,"Stopuščak, PP Medvednica","dječje igralište, travnato sportsko igralište","Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.167848072,45.935131606,77,113,Sesvete,Moravče,Prigorska ulica 80,sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.113657054,45.8101668940001,78,132,Sesvete,Novi Jelkovec,Rimski put - Ulica Borisa Ulricha,sportsko-rekreacijsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.1132054760001,45.809993956,79,133,Sesvete,Novi Jelkovec,Rimski put,boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.1142951620001,45.810442832,80,134,Sesvete,Novi Jelkovec,Rimski put,street workout park,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.072222852,45.8273077690001,81,55,Donja Dubrava,Novi Retkovec,Sitnice,košarkaško igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.072264091,45.8276145580001,82,56,Donja Dubrava,Novi Retkovec,Sitnice,trim staza,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
16.066294801,45.825768214,83,57,Donja Dubrava,Novi Retkovec,Križanje Aleje lipa i Ulice breza,boćalište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.994837874,45.730455835,84,35,Novi Zagreb - zapad,Odra,Odranska ulica 82,sportsko i dječje igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
15.930852208,45.7154834470001,85,7,Brezovica,Odranski Obrež,"Amerikanska ulica, kod k.br. 25",polivalentno asfaltirano sportsko igralište,"Gradski ured za mjesnu samoupravu, civilnu zaštitu i sigurnost i Gradski ured za obrazovanje, sport i mlade","Gradski ured za gospodarstvo, ekološku održivost i strategijsko planiranje"
